Моделирование погоды - Марковский процесс с непрерывным временем
Дата экспорта: 29.05.2026 03:49:15
Всего дней: 5000
Общее время моделирования: 5000,00 дней
Начальное состояние: Облачно
Seed генератора: 42

=== МАТРИЦА ИНТЕНСИВНОСТЕЙ (ГЕНЕРАТОР Q) ===
Из\В;Ясно;Облачно;Пасмурно;Интенсивность выхода
Ясно;-0,4;0,3;0,1;0,4
Облачно;0,4;-0,8;0,4;0,8
Пасмурно;0,1;0,4;-0,5;0,5

=== СТАЦИОНАРНЫЕ РАСПРЕДЕЛЕНИЯ ===
Состояние;Время (дни);Эмпирическая вероятность;Теоретическая вероятность;Абсолютная ошибка;Относительная ошибка
Ясно;1917,6791;0,383536;0,381000;0,002536;0,006656
Облачно;1470,5211;0,294104;0,301500;0,007396;0,024530
Пасмурно;1611,7999;0,322360;0,317500;0,004860;0,015307

=== ХАРАКТЕРИСТИКИ ВРЕМЕНИ ПРЕБЫВАНИЯ ===
Состояние;Интенсивность λ;Количество переходов;Среднее (эмп);Среднее (теор);Дисперсия (эмп);Дисперсия (теор)
Ясно;0,4;740;2,587568;2,500000;6,335628;6,250000
Облачно;0,8;1154;1,274282;1,250000;1,720535;1,562500
Пасмурно;0,5;802;2,009726;2,000000;4,046947;4,000000

=== ИСТОРИЯ ВЕРОЯТНОСТЕЙ ПО ДНЯМ ===
День-Время;Ясно;Облачно;Пасмурно
[День 216. 23:59];0,338887;0,335709;0,325403
[День 217. 17:19];0,337763;0,334596;0,327641
[День 217. 23:59];0,337333;0,335444;0,327224
[День 218. 23:36];0,335817;0,338430;0,325753
[День 218. 23:59];0,335792;0,338405;0,325803
[День 219. 18:32];0,334612;0,337215;0,328174
[День 219. 23:59];0,335299;0,336867;0,327835
[День 220. 23:52];0,338290;0,335351;0,326359
[День 220. 23:59];0,338282;0,335367;0,326351
[День 221. 23:59];0,336758;0,338361;0,324881
[День 222. 00:14];0,336743;0,338390;0,324867
[День 222. 23:59];0,335248;0,336887;0,327865
[День 223. 23:59];0,333751;0,335383;0,330865
[День 224. 09:41];0,333151;0,334780;0,332070
[День 224. 23:59];0,332268;0,336542;0,331190
[День 225. 07:33];0,331803;0,337470;0,330727
[День 225. 23:59];0,330798;0,336447;0,332756
[День 226. 23:59];0,329340;0,334965;0,335695
[День 227. 23:59];0,327896;0,333495;0,338609
[День 228. 09:17];0,327340;0,332930;0,339730
[День 228. 16:11];0,326929;0,333768;0,339303
[День 228. 23:59];0,327885;0,333294;0,338821
[День 229. 00:24];0,327936;0,333269;0,338795
[День 229. 23:59];0,326535;0,336117;0,337348
[День 230. 09:52];0,325952;0,337303;0,336746
[День 230. 23:59];0,325121;0,336443;0,338436
[День 231. 23:59];0,323720;0,334993;0,341287
[День 232. 23:15];0,322373;0,333600;0,344027
[День 232. 23:59];0,322331;0,333688;0,343981
[День 233. 22:45];0,321024;0,336390;0,342586
[День 233. 23:59];0,320953;0,336316;0,342731
[День 234. 17:48];0,319938;0,335253;0,344809
[День 234. 23:59];0,319587;0,335983;0,344430
[День 235. 23:59];0,318233;0,338796;0,342971
[День 236. 23:59];0,316890;0,341586;0,341524
[День 237. 11:50];0,316232;0,342953;0,340814
[День 237. 23:59];0,315559;0,342223;0,342218
[День 238. 19:16];0,314497;0,341072;0,344431
[День 238. 23:59];0,314239;0,341614;0,344148
[День 239. 23:59];0,312929;0,344357;0,342714
[День 240. 00:10];0,312920;0,344377;0,342703
[День 240. 10:52];0,312340;0,343739;0,343921
[День 240. 23:59];0,311631;0,345229;0,343140
[День 241. 08:16];0,311186;0,346164;0,342650
[День 241. 08:35];0,311168;0,346145;0,342687
[День 241. 23:59];0,310343;0,347879;0,341778
[День 242. 23:59];0,309066;0,350562;0,340372
[День 243. 10:12];0,308526;0,351697;0,339777
[День 243. 10:42];0,308586;0,351667;0,339748
[День 243. 23:59];0,307886;0,350869;0,341245
[День 244. 23:59];0,306629;0,349437;0,343934
[День 245. 13:01];0,305951;0,348664;0,345384
[День 245. 13:33];0,306013;0,348633;0,345353
[День 245. 23:59];0,305472;0,349786;0,344742
[День 246. 13:52];0,304756;0,351311;0,343934
[День 246. 23:59];0,304235;0,350711;0,345054
[День 247. 06:19];0,303911;0,350337;0,345752
[День 247. 13:52];0,303525;0,351162;0,345313
[День 247. 23:59];0,304710;0,350565;0,344725
[День 248. 23:59];0,307502;0,349157;0,343341
[День 249. 08:15];0,308458;0,348675;0,342867
[День 249. 11:32];0,308289;0,349032;0,342679
[День 249. 23:59];0,309725;0,348308;0,341967
[День 250. 23:59];0,312475;0,346920;0,340605
[День 251. 23:59];0,315203;0,345543;0,339253
[День 252. 23:59];0,317910;0,344178;0,337912
[День 253. 21:57];0,320368;0,342937;0,336695
[День 253. 23:59];0,320261;0,343157;0,336582
[День 254. 21:32];0,319133;0,345470;0,335397
[День 254. 23:59];0,319005;0,345332;0,335664
[День 255. 23:59];0,317759;0,343983;0,338259
[День 256. 11:34];0,317161;0,343336;0,339503
[День 256. 23:59];0,316522;0,344659;0,338819
[День 257. 23:59];0,315295;0,347199;0,337505
